state,year,population,total
Johor,2017,3697.0,428690
Johor,2018,3749.4,326505
Johor,2019,3761.2,678474
Johor,2020,4009.7,808783
Johor,2021,4020.0,862398
Kedah,2017,2143.9,105247
Kedah,2018,2163.0,94199
Kedah,2019,2173.7,113265
Kedah,2020,2131.4,95790
Kedah,2021,2151.7,138481
Kelantan,2017,1829.0,31434
Kelantan,2018,1860.5,14625
Kelantan,2019,1883.8,10650
Kelantan,2020,1792.5,28912
Kelantan,2021,1812.3,25186
Melaka,2017,913.1,100608
Melaka,2018,922.4,78231
Melaka,2019,928.4,83447
Melaka,2020,998.4,106161
Melaka,2021,1004.5,95676
Negeri Sembilan,2017,1114.0,78726
Negeri Sembilan,2018,1122.9,292266
Negeri Sembilan,2019,1126.2,91805
Negeri Sembilan,2020,1200.0,84634
Negeri Sembilan,2021,1204.2,97961
Pahang,2017,1647.0,79197
Pahang,2018,1664.7,200640
Pahang,2019,1671.4,155698
Pahang,2020,1591.3,170315
Pahang,2021,1601.5,205747
Perak,2017,2493.2,74682
Perak,2018,2503.5,71625
Perak,2019,2508.8,93303
Perak,2020,2496.0,122630
Perak,2021,2515.8,121367
Perlis,2017,252.0,9009
Perlis,2018,253.5,5022
Perlis,2019,254.0,15392
Perlis,2020,284.9,6258
Perlis,2021,287.6,7943
Penang,2017,1744.1,282461
Penang,2018,1762.8,219700
Penang,2019,1768.8,177632
Penang,2020,1740.4,211486
Penang,2021,1740.0,198977
Sabah,2017,3855.9,90282
Sabah,2018,3898.4,100026
Sabah,2019,3904.4,249863
Sabah,2020,3418.8,109520
Sabah,2021,3412.6,130864
Sarawak,2017,2766.3,248621
Sarawak,2018,2791.7,100026
Sarawak,2019,2806.0,251732
Sarawak,2020,2453.7,235613
Sarawak,2021,2465.6,239412
Selangor,2017,6380.7,489284
Selangor,2018,6475.0,500592
Selangor,2019,6506.1,543455
Selangor,2020,6994.4,530436
Selangor,2021,7014.7,557525
Terengganu,2017,1208.0,308052
Terengganu,2018,1228.3,247830
Terengganu,2019,1244.5,126597
Terengganu,2020,1149.4,236448
Terengganu,2021,1170.7,220152
W.P. Kuala Lumpur,2017,1793.2,260882
W.P. Kuala Lumpur,2018,1790.0,325150
W.P. Kuala Lumpur,2019,1782.5,292570
W.P. Kuala Lumpur,2020,1982.1,223988
W.P. Kuala Lumpur,2021,1964.0,221029
W.P. Labuan,2017,97.6,2152
W.P. Labuan,2018,99.0,6517
W.P. Labuan,2019,99.3,1144
W.P. Labuan,2020,95.1,1366
W.P. Labuan,2021,96.0,2586
W.P. Putrajaya,2017,87.5,4321
W.P. Putrajaya,2018,97.2,2120
W.P. Putrajaya,2019,103.7,232
W.P. Putrajaya,2020,109.2,462
W.P. Putrajaya,2021,115.2,635
