State,Year,Category,Value
Johor,2017,Pollution management,274164.0
Johor,2018,Pollution management,228340.0
Johor,2019,Pollution management,493438.0
Johor,2020,Pollution management,636030.0
Johor,2021,Pollution management,660433.0
Kedah,2017,Pollution management,77200.0
Kedah,2018,Pollution management,72394.0
Kedah,2019,Pollution management,84293.0
Kedah,2020,Pollution management,61017.0
Kedah,2021,Pollution management,90088.0
Kelantan,2017,Pollution management,19492.0
Kelantan,2018,Pollution management,10088.0
Kelantan,2019,Pollution management,7518.0
Kelantan,2020,Pollution management,12400.0
Kelantan,2021,Pollution management,17233.0
Melaka,2017,Pollution management,72835.0
Melaka,2018,Pollution management,49125.0
Melaka,2019,Pollution management,51878.0
Melaka,2020,Pollution management,85347.0
Melaka,2021,Pollution management,78090.0
Negeri Sembilan,2017,Pollution management,41131.0
Negeri Sembilan,2018,Pollution management,257383.0
Negeri Sembilan,2019,Pollution management,59889.0
Negeri Sembilan,2020,Pollution management,57933.0
Negeri Sembilan,2021,Pollution management,67819.0
Pahang,2017,Pollution management,43261.0
Pahang,2018,Pollution management,117970.0
Pahang,2019,Pollution management,138099.0
Pahang,2020,Pollution management,155927.0
Pahang,2021,Pollution management,182567.0
Perak,2017,Pollution management,45697.0
Perak,2018,Pollution management,52035.0
Perak,2019,Pollution management,69561.0
Perak,2020,Pollution management,88600.0
Perak,2021,Pollution management,85945.0
Perlis,2017,Pollution management,7406.0
Perlis,2018,Pollution management,2637.0
Perlis,2019,Pollution management,14340.0
Perlis,2020,Pollution management,4916.0
Perlis,2021,Pollution management,5894.0
Penang,2017,Pollution management,107250.0
Penang,2018,Pollution management,99280.0
Penang,2019,Pollution management,115353.0
Penang,2020,Pollution management,113914.0
Penang,2021,Pollution management,114391.0
Sabah,2017,Pollution management,54852.0
Sabah,2018,Pollution management,67330.0
Sabah,2019,Pollution management,215962.0
Sabah,2020,Pollution management,74430.0
Sabah,2021,Pollution management,95273.0
Sarawak,2017,Pollution management,165970.0
Sarawak,2018,Pollution management,67330.0
Sarawak,2019,Pollution management,150348.0
Sarawak,2020,Pollution management,138970.0
Sarawak,2021,Pollution management,137636.0
Selangor,2017,Pollution management,285558.0
Selangor,2018,Pollution management,328075.0
Selangor,2019,Pollution management,345275.0
Selangor,2020,Pollution management,322866.0
Selangor,2021,Pollution management,363703.0
Terengganu,2017,Pollution management,268851.0
Terengganu,2018,Pollution management,226276.0
Terengganu,2019,Pollution management,101876.0
Terengganu,2020,Pollution management,211445.0
Terengganu,2021,Pollution management,184519.0
W.P. Kuala Lumpur,2017,Pollution management,195299.0
W.P. Kuala Lumpur,2018,Pollution management,191305.0
W.P. Kuala Lumpur,2019,Pollution management,173051.0
W.P. Kuala Lumpur,2020,Pollution management,139231.0
W.P. Kuala Lumpur,2021,Pollution management,125313.0
W.P. Labuan,2017,Pollution management,561.0
W.P. Labuan,2018,Pollution management,768.0
W.P. Labuan,2019,Pollution management,278.0
W.P. Labuan,2020,Pollution management,423.0
W.P. Labuan,2021,Pollution management,945.0
W.P. Putrajaya,2017,Pollution management,150.0
W.P. Putrajaya,2018,Pollution management,303.0
W.P. Putrajaya,2019,Pollution management,50.0
W.P. Putrajaya,2020,Pollution management,220.0
W.P. Putrajaya,2021,Pollution management,318.0
Johor,2017,Protection of wildlife & habitats,475.0
Johor,2018,Protection of wildlife & habitats,448.0
Johor,2019,Protection of wildlife & habitats,258.0
Johor,2020,Protection of wildlife & habitats,3011.0
Johor,2021,Protection of wildlife & habitats,4289.0
Kedah,2017,Protection of wildlife & habitats,249.0
Kedah,2018,Protection of wildlife & habitats,10.0
Kedah,2019,Protection of wildlife & habitats,
Kedah,2020,Protection of wildlife & habitats,164.0
Kedah,2021,Protection of wildlife & habitats,171.0
Kelantan,2017,Protection of wildlife & habitats,361.0
Kelantan,2018,Protection of wildlife & habitats,104.0
Kelantan,2019,Protection of wildlife & habitats,15.0
Kelantan,2020,Protection of wildlife & habitats,6310.0
Kelantan,2021,Protection of wildlife & habitats,806.0
Melaka,2017,Protection of wildlife & habitats,23.0
Melaka,2018,Protection of wildlife & habitats,20.0
Melaka,2019,Protection of wildlife & habitats,3.0
Melaka,2020,Protection of wildlife & habitats,3.0
Melaka,2021,Protection of wildlife & habitats,
Negeri Sembilan,2017,Protection of wildlife & habitats,11.0
Negeri Sembilan,2018,Protection of wildlife & habitats,91.0
Negeri Sembilan,2019,Protection of wildlife & habitats,45.0
Negeri Sembilan,2020,Protection of wildlife & habitats,551.0
Negeri Sembilan,2021,Protection of wildlife & habitats,569.0
Pahang,2017,Protection of wildlife & habitats,1023.0
Pahang,2018,Protection of wildlife & habitats,252.0
Pahang,2019,Protection of wildlife & habitats,136.0
Pahang,2020,Protection of wildlife & habitats,77.0
Pahang,2021,Protection of wildlife & habitats,22.0
Perak,2017,Protection of wildlife & habitats,0.0
Perak,2018,Protection of wildlife & habitats,14.0
Perak,2019,Protection of wildlife & habitats,
Perak,2020,Protection of wildlife & habitats,877.0
Perak,2021,Protection of wildlife & habitats,455.0
Perlis,2017,Protection of wildlife & habitats,
Perlis,2018,Protection of wildlife & habitats,
Perlis,2019,Protection of wildlife & habitats,
Perlis,2020,Protection of wildlife & habitats,
Perlis,2021,Protection of wildlife & habitats,
Penang,2017,Protection of wildlife & habitats,1141.0
Penang,2018,Protection of wildlife & habitats,0.0
Penang,2019,Protection of wildlife & habitats,
Penang,2020,Protection of wildlife & habitats,10.0
Penang,2021,Protection of wildlife & habitats,12.0
Sabah,2017,Protection of wildlife & habitats,1186.0
Sabah,2018,Protection of wildlife & habitats,2709.0
Sabah,2019,Protection of wildlife & habitats,2228.0
Sabah,2020,Protection of wildlife & habitats,4173.0
Sabah,2021,Protection of wildlife & habitats,3244.0
Sarawak,2017,Protection of wildlife & habitats,2678.0
Sarawak,2018,Protection of wildlife & habitats,2709.0
Sarawak,2019,Protection of wildlife & habitats,1471.0
Sarawak,2020,Protection of wildlife & habitats,815.0
Sarawak,2021,Protection of wildlife & habitats,543.0
Selangor,2017,Protection of wildlife & habitats,343.0
Selangor,2018,Protection of wildlife & habitats,
Selangor,2019,Protection of wildlife & habitats,
Selangor,2020,Protection of wildlife & habitats,18.0
Selangor,2021,Protection of wildlife & habitats,23.0
Terengganu,2017,Protection of wildlife & habitats,1823.0
Terengganu,2018,Protection of wildlife & habitats,562.0
Terengganu,2019,Protection of wildlife & habitats,30.0
Terengganu,2020,Protection of wildlife & habitats,52.0
Terengganu,2021,Protection of wildlife & habitats,55.0
W.P. Kuala Lumpur,2017,Protection of wildlife & habitats,366.0
W.P. Kuala Lumpur,2018,Protection of wildlife & habitats,676.0
W.P. Kuala Lumpur,2019,Protection of wildlife & habitats,2206.0
W.P. Kuala Lumpur,2020,Protection of wildlife & habitats,1945.0
W.P. Kuala Lumpur,2021,Protection of wildlife & habitats,1999.0
W.P. Labuan,2017,Protection of wildlife & habitats,
W.P. Labuan,2018,Protection of wildlife & habitats,
W.P. Labuan,2019,Protection of wildlife & habitats,
W.P. Labuan,2020,Protection of wildlife & habitats,
W.P. Labuan,2021,Protection of wildlife & habitats,
W.P. Putrajaya,2017,Protection of wildlife & habitats,71.0
W.P. Putrajaya,2018,Protection of wildlife & habitats,
W.P. Putrajaya,2019,Protection of wildlife & habitats,
W.P. Putrajaya,2020,Protection of wildlife & habitats,
W.P. Putrajaya,2021,Protection of wildlife & habitats,
Johor,2017,Environmental assessment and charges,13051.0
Johor,2018,Environmental assessment and charges,7720.0
Johor,2019,Environmental assessment and charges,6979.0
Johor,2020,Environmental assessment and charges,7862.0
Johor,2021,Environmental assessment and charges,9754.0
Kedah,2017,Environmental assessment and charges,1343.0
Kedah,2018,Environmental assessment and charges,1174.0
Kedah,2019,Environmental assessment and charges,1402.0
Kedah,2020,Environmental assessment and charges,857.0
Kedah,2021,Environmental assessment and charges,1567.0
Kelantan,2017,Environmental assessment and charges,1620.0
Kelantan,2018,Environmental assessment and charges,489.0
Kelantan,2019,Environmental assessment and charges,505.0
Kelantan,2020,Environmental assessment and charges,1711.0
Kelantan,2021,Environmental assessment and charges,1234.0
Melaka,2017,Environmental assessment and charges,1281.0
Melaka,2018,Environmental assessment and charges,613.0
Melaka,2019,Environmental assessment and charges,1016.0
Melaka,2020,Environmental assessment and charges,887.0
Melaka,2021,Environmental assessment and charges,922.0
Negeri Sembilan,2017,Environmental assessment and charges,2062.0
Negeri Sembilan,2018,Environmental assessment and charges,1577.0
Negeri Sembilan,2019,Environmental assessment and charges,1595.0
Negeri Sembilan,2020,Environmental assessment and charges,3290.0
Negeri Sembilan,2021,Environmental assessment and charges,4536.0
Pahang,2017,Environmental assessment and charges,1778.0
Pahang,2018,Environmental assessment and charges,2601.0
Pahang,2019,Environmental assessment and charges,2608.0
Pahang,2020,Environmental assessment and charges,1463.0
